,RowId,Airline Name,Review_Title,Review Date,Top Review Image Url,img_resnet50_score,img_resnet50_label,img_blip_caption
0,0,AB Aviation,"""pretty decent airline""",11th November 2019,https://www.airlinequality.com/wp-content/uploads/2019/11/20191102_123305-500x500.jpg,5.190324783325195,military aircraft,a man taking a picture of a plane
1,13,Adria Airways,"""Would not fly again""",30th June 2018,https://www.airlinequality.com/wp-content/uploads/2018/06/IMG_1571-1-500x500.jpg,6.628997325897217,mail bag,the green leather case is attached to the back of the suitcase
2,108,Aegean Airlines,“claims to be pet-friendly”,27th October 2024,https://www.airlinequality.com/wp-content/uploads/2024/10/IMG_5873-500x500.jpeg,5.040598392486572,jeep,a woman holding a dog in a cage
3,109,Aegean Airlines,“Great value for money!”,13th October 2024,https://www.airlinequality.com/wp-content/uploads/2024/10/20241008_FRA-ATH-A3831_espresso-500x500.jpg,7.355823993682861,espresso,a cup of coffee on a table
4,110,Aegean Airlines,"""75 euro for 1 10 kg bag round trip""",4th October 2024,https://www.airlinequality.com/wp-content/uploads/2024/10/PXL_20241004_073123468-500x500.jpg,5.758940696716309,desk,a computer desk with a monitor and a printer
5,118,Aegean Airlines,“crew was very nice”,12th July 2024,https://www.airlinequality.com/wp-content/uploads/2024/07/inbound8469499039478717598-500x500.jpg,6.772408962249756,plate,a tray with food and drinks on it
6,130,Aegean Airlines,“Very attending service”,22nd May 2024,https://www.airlinequality.com/wp-content/uploads/2024/05/IMG_20240518_103907_edit_2247906755096047-500x500.jpg,6.72723388671875,seat belt,the seats in the first class of the airbus 777
7,135,Aegean Airlines,"""our bags were not loaded""",23rd March 2024,https://www.airlinequality.com/wp-content/uploads/2024/03/Aegean1-500x500.jpg,6.802717685699463,menu,a receipt from the fbi
8,136,Aegean Airlines,"""Highly recommended! """,7th March 2024,https://www.airlinequality.com/wp-content/uploads/2024/03/IMG_1475-500x500.jpeg,7.069388389587402,airliner,a large airplane sitting on top of an airport tar
9,154,Aegean Airlines,"""out of my last 20 flights only one was on time""",25th September 2023,https://www.airlinequality.com/wp-content/uploads/2023/09/16956630467416937441037722578767-500x500.jpg,5.517897129058838,ambulance,a woman sitting in an airplane reading a magazine
10,165,Aegean Airlines,"""Boarding is a mess""",18th August 2023,https://www.airlinequality.com/wp-content/uploads/2023/08/20230808_162733-500x500.jpg,4.81248140335083,planetarium,passengers waiting at the airport
11,184,Aegean Airlines,"""Crew was friendly""",30th May 2023,https://www.airlinequality.com/wp-content/uploads/2023/05/IMG_20230526_183615-500x500.jpg,5.795831680297852,plate,a meal on an airplane with a bottle of wine and a glass
12,186,Aegean Airlines,"""did not wear a name tag""",2nd May 2023,https://www.airlinequality.com/wp-content/uploads/2023/05/No-name-tag.-Texting-while-taking-off-500x500.jpg,5.761403560638428,neck brace,a woman sitting in an airplane with her legs crossed
13,187,Aegean Airlines,"""Crew was friendly and helpful""",30th April 2023,https://www.airlinequality.com/wp-content/uploads/2023/04/IMG_20230422_092256_edit_12319672402807-500x500.jpg,5.528526782989502,packet,"a tray with coffee, chocolates and a bag of chocolate"
14,193,Aegean Airlines,"""In Flight Service was nice""",26th March 2023,https://www.airlinequality.com/wp-content/uploads/2023/03/IMG_20230314_092816_edit_1407529165077927-500x500.jpg,6.052022933959961,tray,"a tray with fruit, bread and a glass of wine"
15,203,Aer Lingus,"""Rather dismayed""",24th October 2024,https://www.airlinequality.com/wp-content/uploads/2024/10/IMG_8708-500x500.jpeg,6.042516708374023,plate,a tray with food on it and a cup of coffee
16,207,Aer Lingus,“seats are disgusting unfortunately”,18th September 2024,https://www.airlinequality.com/wp-content/uploads/2024/09/IMG_4994-500x500.jpeg,5.025806903839111,grey parrot,a piece of paper taped into the bottom of a bag
17,219,Aer Lingus,"""broke the wheels off our luggage""",3rd June 2024,https://www.airlinequality.com/wp-content/uploads/2024/06/Screen-Shot-2024-06-02-at-2.27.41-PM.png,-1.0,error,a blue suitcase
18,231,Aer Lingus,"""aircraft that is in horrific condition""",22nd December 2023,https://www.airlinequality.com/wp-content/uploads/2023/12/IMG_1298-500x500.jpeg,6.200885772705078,space bar,"the seat is not fully, but it ' s not in use"
19,241,Aer Lingus,"""the crew were good fun""",25th September 2023,https://www.airlinequality.com/wp-content/uploads/2023/09/F7B06D6E-FE25-4185-98CC-7C73319BC86B-500x500.jpeg,5.200730800628662,toilet seat,the seats in the first class of the airbus 777
